"","Subject","class","angle_sum","dis_sum","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"1","C02","experiment",0.385400944358771,-44.8778491881804,1.031,-0.387,0.878,0.173,0.207983898020798,0.792016101979202,1.365,-0.459,-0.093,0.786,0.123,0.121,0.15330426031533,0.608017443810802,0.238678295873868,-0.078,1.367,-0.32,-0.521,0.116,0.786,0.033,0.098,0.220731298222073,0.152968802415297,0.210415967796042,0.415883931566588,-0.312,-0.573,-0.081,-0.412,1.367,0.025,0.079,0.117,0.026,0.786,0.177373364642737,0.274823884602482,0.224505199597451,0.170244884267024,0.153052666890305
"2","C03","experiment",0.377626827654638,-47.4200281568613,1.2,-0.227,0.801,0.305,0.318279151255597,0.681720848744403,1.296,0.082,-0.483,0.793,0.171,0.148,0.284601907728246,0.360619038349231,0.354779053922523,0.175,1.294,-0.5,-0.145,0.114,0.793,0.138,0.067,0.247323340471092,0.285283239244695,0.330932450846798,0.136460969437415,0.139,0.688,-0.584,1.895,-0.245,0.093,0.217,0.092,0.772,0.109,0.225715398092272,0.180163519563948,0.214716760755305,0.135779637920966,0.24362468366751
"3","C04","experiment",0.572972783705285,-114.101395269932,4.081,0.909,1.339,0.72,0.310001745505324,0.689998254494676,5.416,2.588,0.643,1.032,0.772,0.574,0.124890905917263,0.336009774829813,0.539099319252924,1.294,1.956,4.239,0.274,0.165,0.233,1.287,0.369,0.209373363588759,0.165212078896841,0.284255541979403,0.341159015534997,0.048,-0.287,4.134,1.529,0.52,0.069,0.165,1.321,0.361,0.152,0.0748821783906441,0.0651946238436027,0.301361494152557,0.367777971722814,0.190783731890382
"4","C05","experiment",0.43420967184826,-55.4964179246541,-0.037,-0.463,0.126,0.118,0.394274609462591,0.605725390537409,-0.028,-0.542,-0.335,0.121,0.077,0.049,0.377681441064355,0.369982808879587,0.252335750056058,-0.613,-0.49,-0.334,-0.028,0.062,0.034,0.049,0.121,0.15389789969355,0.217953509230884,0.250317662007624,0.377830929067942,-0.49,-0.613,0.018,-0.343,-0.176,0.034,0.062,0.105,0.042,0.049,0.217953509230884,0.153823155691756,0.280215262725166,0.227670229464085,0.120337842888108
"5","C06","experiment",0.408324711729738,-19.4504961723478,-0.098,-0.636,0.476,0.107,0.378165938864629,0.621834061135371,-0.544,-0.004,-0.755,0.049,0.398,0.101,0.31528384279476,0.34129063561378,0.34342552159146,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915,-0.501,-0.586,-0.755,0.476,-0.255,0.031,0.018,0.102,0.306,0.083,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393
"6","C07","experiment",0.404736293827006,-45.4630342700635,1.022,-0.638,0.54,0.127,0.28983164983165,0.71016835016835,-0.455,1.031,-0.694,0.074,0.531,0.079,0.171851851851852,0.287946127946128,0.54020202020202,-0.465,-0.596,1.032,-0.731,0.079,0.003,0.531,0.06,0.186936026936027,0.129158249158249,0.287811447811448,0.396094276094276,-0.694,0.058,0.821,1.7,-0.459,0.079,0.241,0.136,0.293,0.068,0.541279461279461,0.0297643097643098,0.172929292929293,0.0894276094276094,0.166599326599327
"7","C08","experiment",0.497428150989255,-43.9621638431319,-0.521,0.7,0.202,0.642,0.608219379503014,0.391780620496986,-0.082,0.99,-0.585,0.158,0.564,0.162,0.228789883840612,0.270989560358771,0.500220555800618,-0.769,0.991,-0.475,-0.08,0.089,0.564,0.073,0.157,0.185560946919571,0.270989560358771,0.315762387884135,0.227687104837524,-0.08,-0.866,-0.474,-0.703,0.991,0.157,0.018,0.072,0.054,0.564,0.227687104837524,0.0732980444052345,0.312968681076312,0.115056609322159,0.270989560358771
"8","C09","experiment",0.39695474245384,-42.9706337550522,-0.425,1.683,0.212,0.991,0.728802447552448,0.271197552447552,-0.267,-0.636,1.576,0.081,0.088,1.043,0.383522727272727,0.326486013986014,0.289991258741259,-0.581,1.573,-0.265,-0.733,0.064,1.044,0.079,0.025,0.21722027972028,0.290428321678322,0.378496503496503,0.113854895104895,-0.271,-0.634,0.3,2.834,1.616,0.074,0.089,0.275,0.201,0.461,0.369318181818182,0.329982517482518,0.104676573426573,0.0882867132867133,0.107736013986014
"9","C10","experiment",0.514311979187018,-30.8323997700174,-0.163,-0.551,0.644,0.103,0.23447995115001,0.76552004884999,-0.154,-0.459,-0.633,0.649,0.053,0.062,0.228373702422145,0.366069611235498,0.405556686342357,-0.645,-0.151,-0.516,-0.412,0.059,0.648,0.026,0.028,0.357419092204356,0.227966619173621,0.231325055973947,0.183289232648077,-0.507,-0.136,-0.412,-0.688,-0.583,0.02,0.648,0.028,0.048,0.02,0.186342357012009,0.222572766130674,0.184306940769387,0.209139018929371,0.197638917158559
"10","C11","experiment",0.512823843052215,-98.5097004936539,0.369,-0.618,0.648,0.136,0.437693229856773,0.562306770143227,0.728,-0.678,-0.295,0.595,0.093,0.14,0.266893810335037,0.427913433024166,0.305192756640798,-0.139,-0.697,-0.458,0.847,0.129,0.083,0.067,0.569,0.209476938608114,0.376048962079626,0.188466149283866,0.226007950028393,-0.616,-0.772,-0.133,-0.442,0.849,0.033,0.041,0.127,0.063,0.569,0.208278124802827,0.188024481039813,0.204870969777273,0.173197047132311,0.225629377247776
"11","C12","experiment",0.389257946286211,-25.2106192672736,-0.098,-0.636,0.476,0.107,0.378165938864629,0.621834061135371,-0.544,-0.004,-0.755,0.049,0.398,0.101,0.31528384279476,0.34129063561378,0.34342552159146,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915,-0.501,-0.586,-0.755,0.476,-0.255,0.031,0.018,0.102,0.306,0.083,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393
"12","C13","experiment",0.404517564298152,-44.8045459476774,4.55,0.745,2.097,0.772,0.288864142538976,0.711135857461024,5.501,-0.012,1.562,1.853,0.249,0.569,0.199331848552339,0.320155902004454,0.480512249443207,5.589,2.182,1.173,-0.021,1.818,0.313,0.337,0.241,0.192984409799555,0.191870824053452,0.300779510022272,0.314365256124722,0.919,5.595,1.566,2.245,-0.033,0.223,1.816,0.119,0.286,0.231,0.188307349665924,0.192538975501114,0.143429844097996,0.168819599109131,0.306904231625835
"13","C15","experiment",0.639860064313048,135.447881483511,-0.127,-0.729,0.236,0.134,0.213423891330404,0.786576108669596,-0.627,-0.141,-0.877,0.057,0.242,0.031,0.455133839392729,0.221654015181782,0.323212145425489,-0.69,-0.185,-0.879,-0.6,0.041,0.258,0.03,0.022,0.173791450259688,0.251058729524571,0.318337994406712,0.256811825809029,-0.602,-0.457,-0.69,-0.879,-0.014,0.019,0.075,0.041,0.03,0.185,0.240990811026768,0.114662405113863,0.174990011985617,0.318337994406712,0.15101877746704
"14","C17","experiment",0.556661320504574,143.886655954651,0.65,-0.263,0.397,0.214,0.442039485600435,0.557960514399565,0.737,-0.012,-0.42,0.37,0.128,0.138,0.373483064662199,0.314164100706394,0.312352834631407,0.25,0.901,-0.456,-0.12,0.122,0.321,0.123,0.089,0.217170802390871,0.262271327658033,0.260369498279297,0.260188371671799,-0.095,0.903,0.255,-0.598,-0.349,0.078,0.321,0.12,0.071,0.066,0.225230936424561,0.26136569462054,0.214272776670893,0.0956348487592827,0.203495743524724
"15","C18","experiment",0.401141625133397,-45.6450278673841,-0.364,1.033,0.153,0.891,0.440386680988185,0.559613319011815,-0.375,2.14,0.448,0.143,0.578,0.304,0.425251440289034,0.188848745239723,0.385899814471243,0.695,2.152,0.071,-0.432,0.187,0.571,0.173,0.088,0.209940435504345,0.186798164241773,0.260130846597012,0.343130553656869,0.755,-0.114,-0.439,0.257,2.143,0.143,0.085,0.083,0.115,0.576,0.168440581974417,0.12987012987013,0.330534127526609,0.182892295674251,0.188262864954594
"16","C19","experiment",0.666382859001045,-140.480986166183,-0.605,0.014,0.086,0.33,0.49826443673083,0.50173556326917,-0.677,0.073,-0.5,0.042,0.313,0.073,0.253155569580309,0.4367308299148,0.310113600504891,-0.68,0.262,-0.542,-0.266,0.041,0.269,0.04,0.113,0.243531082360366,0.259151151782897,0.234616598295992,0.262701167560745,-0.64,-0.536,-0.708,-0.235,0.309,0.02,0.04,0.031,0.127,0.26,0.120621647207321,0.227358788261281,0.136320605869359,0.291969075418113,0.223729883243926
"17","C20","experiment",0.599063726067599,142.235969569745,-0.11,-0.672,0.218,0.132,0.618793503480278,0.381206496519722,-0.54,-0.101,-0.777,0.069,0.215,0.077,0.192807424593968,0.602320185614849,0.204872389791183,-0.52,-0.771,0.129,-0.223,0.078,0.079,0.193,0.062,0.202397525135344,0.214075792730085,0.216550657385924,0.366976024748647,-0.749,-0.307,-0.192,0.103,-0.511,0.09,0.043,0.022,0.198,0.052,0.252977571539056,0.149574632637278,0.212219644238206,0.24215003866976,0.1430781129157
"18","C21","experiment",0.485619977345711,-86.0346088800356,-0.335,0.353,0.199,0.252,0.47081303143212,0.52918696856788,-0.432,0.448,-0.021,0.149,0.216,0.091,0.335053023789051,0.400305722747683,0.264641253463266,-0.432,0.333,0.662,-0.006,0.15,0.052,0.208,0.103,0.335530715582306,0.228050062099933,0.150186299799369,0.286232922518391,-0.307,-0.539,-0.107,0.452,0.059,0.055,0.113,0.049,0.214,0.051,0.146173688736028,0.183338110251266,0.133084933600841,0.394382344511321,0.143020922900545
"19","C22","experiment",1.06259967400573,-67.4262309696492,1.941,0.183,1.034,0.417,0.391558275356586,0.608441724643414,2.032,0.589,-0.143,1.033,0.199,0.28,0.356795495264909,0.320334132210252,0.322870372524839,2.844,1.287,0.522,-0.156,1.062,0.272,0.162,0.275,0.159713335039672,0.244060776694511,0.283989110454429,0.312236777811387,2.846,1.289,0.079,0.541,-0.392,1.062,0.272,0.114,0.152,0.201,0.15943411592247,0.243269655862438,0.181027060986109,0.266933476045327,0.149335691183656
"20","C23","experiment",0.597510075224891,111.353604845772,1.604,0.444,0.49,0.339,0.359542857142857,0.640457142857143,0.848,1.75,0.199,0.144,0.449,0.21,0.340495238095238,0.284495238095238,0.375009523809524,0.856,0.049,1.749,0.408,0.137,0.141,0.449,0.101,0.328990476190476,0.212266666666667,0.284647619047619,0.174095238095238,0.783,0.201,1.604,2.369,1.105,0.096,0.212,0.143,0.299,0.103,0.249980952380952,0.377219047619048,0.157104761904762,0.0784761904761905,0.137219047619048
"21","C24","experiment",0.913072456800212,-114.227804086997,0.146,-0.54,0.292,0.181,0.346979158635931,0.653020841364069,-0.32,0.199,-0.648,0.075,0.277,0.127,0.276925449078714,0.301184694061111,0.421889856860175,-0.307,-0.76,-0.534,0.199,0.067,0.082,0.059,0.277,0.248914244596921,0.201243800272403,0.24798910389844,0.301852851232236,-0.534,0.485,-0.76,0.009,-0.314,0.059,0.229,0.082,0.112,0.06,0.248323182484003,0.114897335080821,0.201295196977874,0.200781229923162,0.23470305553414
"22","C30","control",0.610204771375492,-90.9753599857539,-0.247,0.998,0.266,0.606,0.492753623188406,0.507246376811594,-0.269,0.651,1.809,0.253,0.305,0.404,0.469342251950948,0.387959866220736,0.142697881828317,1.836,0.348,0.923,-0.288,0.391,0.152,0.151,0.242,0.137123745819398,0.208472686733556,0.204013377926421,0.450390189520624,1.836,-0.5,-0.111,0.912,0.332,0.391,0.188,0.08,0.159,0.148,0.137123745819398,0.208472686733556,0.235228539576366,0.208472686733556,0.210702341137124
"23","C31","control",0.753753078190902,-115.3822845036,2.119,0.08,1.117,0.466,0.229654403567447,0.770345596432553,-0.304,2.162,0.52,0.251,1.11,0.2,0.409141583054627,0.224080267558528,0.366778149386845,3.016,0.465,-0.3,1.25,1.118,0.151,0.253,0.362,0.102564102564103,0.307692307692308,0.412486064659978,0.177257525083612,-0.154,2.179,-0.571,0.658,0.312,0.119,1.109,0.143,0.137,0.107,0.234113712374582,0.219620958751394,0.159420289855072,0.221850613154961,0.164994425863991
"24","C32","control",0.496671312246826,-47.8944836261251,1.079,-0.618,0.73,0.357,0.288740245261984,0.711259754738016,-0.62,1.792,0.512,0.356,0.472,0.245,0.710144927536232,0.127090301003344,0.162764771460424,1.791,-0.398,-1.034,0.511,0.472,0.199,0.157,0.246,0.127090301003344,0.461538461538462,0.24860646599777,0.162764771460424,-1.04,-0.555,-0.205,0.519,1.79,0.152,0.097,0.113,0.238,0.473,0.244147157190635,0.258639910813824,0.208472686733556,0.16164994425864,0.127090301003344
"25","C33","control",0.614848621405815,-123.512706558823,0.531,-0.401,0.51,0.177,0.470457079152731,0.529542920847269,0.108,-0.442,1.024,0.179,0.15,0.398,0.338907469342252,0.462653288740245,0.198439241917503,1.023,0.102,-0.605,-0.358,0.398,0.181,0.108,0.078,0.198439241917503,0.344481605351171,0.154960981047938,0.302118171683389,0.33,-0.539,-0.312,1.109,-0.013,0.123,0.118,0.058,0.363,0.106,0.156075808249721,0.269788182831661,0.187290969899666,0.169453734671126,0.217391304347826
"26","C34","control",0.762090367562925,-56.8283301334302,-0.31,1.479,0.422,0.692,0.434782608695652,0.565217391304348,-0.307,2.227,0.976,0.423,0.384,0.253,0.438127090301003,0.22742474916388,0.334448160535117,2.231,0.758,1.189,-0.313,0.381,0.142,0.142,0.419,0.226309921962096,0.168338907469342,0.17056856187291,0.434782608695652,0.795,-0.615,1.19,2.23,0.188,0.106,0.207,0.141,0.381,0.179,0.147157190635452,0.263099219620959,0.17056856187291,0.226309921962096,0.192865105908584
"27","C35","control",0.634054911552202,-80.1973053521656,-0.439,0.544,0.301,0.376,0.521739130434783,0.478260869565217,0.27,0.919,-0.475,0.184,0.312,0.285,0.338907469342252,0.180602006688963,0.480490523968785,1.059,0.377,-0.217,-0.719,0.279,0.17,0.141,0.225,0.127090301003344,0.335562987736901,0.312151616499443,0.225195094760312,-1.016,0.752,-0.342,0.136,-0.739,0.052,0.331,0.108,0.163,0.108,0.0602006688963211,0.293199554069119,0.297658862876254,0.264214046822742,0.084726867335563
"28","C36","control",0.748072005867702,-100.059325908609,2.891,1.439,0.786,0.458,0.32329988851728,0.67670011148272,1.726,0.865,2.908,0.21,0.228,0.783,0.459308807134894,0.224080267558528,0.316610925306577,0.845,1.866,2.898,1.49,0.213,0.111,0.782,0.098,0.216276477146042,0.276477146042363,0.321070234113712,0.186176142697882,1.864,0.66,1.502,2.898,1.046,0.112,0.1,0.081,0.782,0.152,0.276477146042363,0.102564102564103,0.173913043478261,0.321070234113712,0.125975473801561
"29","C37","control",0.700680985370354,-60.5399658437648,0.579,-0.662,0.536,0.293,0.392419175027871,0.607580824972129,-0.924,0.617,-0.392,0.149,0.523,0.144,0.297658862876254,0.372352285395764,0.329988851727982,-0.922,-0.062,-0.442,0.833,0.15,0.118,0.104,0.442,0.297658862876254,0.163879598662207,0.265328874024526,0.273132664437012,-0.442,-0.062,0.426,-0.922,1.172,0.104,0.117,0.113,0.15,0.308,0.265328874024526,0.163879598662207,0.123745819397993,0.297658862876254,0.149386845039019
"30","C38","control",0.678189337209095,-113.546651793537,-0.269,0.623,0.283,0.285,0.49386845039019,0.50613154960981,0.022,0.66,-0.517,0.151,0.269,0.127,0.289855072463768,0.459308807134894,0.250836120401338,-0.513,0.55,1.054,0.033,0.129,0.132,0.233,0.153,0.255295429208473,0.346711259754738,0.105908584169454,0.292084726867336,-0.584,0.374,0.771,-0.247,0.086,0.075,0.085,0.242,0.115,0.071,0.182831661092531,0.158305462653289,0.328874024526198,0.162764771460424,0.167224080267559
"31","C41","control",0.699781180663874,124.589816522071,0.149,1.75,0.502,0.628,0.597547380156076,0.402452619843924,-0.395,0.499,1.775,0.309,0.232,0.619,0.230769230769231,0.38015607580825,0.389074693422519,-0.397,0.446,2.165,1.072,0.308,0.198,0.452,0.174,0.229654403567447,0.335562987736901,0.239687848383501,0.195094760312152,1.912,0.447,1.067,-0.397,2.757,0.266,0.198,0.169,0.308,0.189,0.172798216276477,0.335562987736901,0.190635451505017,0.229654403567447,0.0713489409141583
"32","C42","control",0.53986703783218,-129.008558122112,-0.729,0.107,0.253,0.326,0.566332218506132,0.433667781493868,-0.862,-0.344,0.33,0.206,0.158,0.239,0.375696767001115,0.374581939799331,0.249721293199554,-0.683,0.333,-1.039,-0.324,0.074,0.238,0.154,0.15,0.22742474916388,0.249721293199554,0.178372352285396,0.344481605351171,-0.204,0.346,-0.71,-1.038,-0.494,0.098,0.231,0.055,0.154,0.065,0.210702341137124,0.239687848383501,0.177257525083612,0.178372352285396,0.193979933110368
"33","C43","control",0.654557615727787,178.410535894793,-1.125,-0.279,0.203,0.388,0.474916387959866,0.525083612040134,-0.266,-1.289,-0.953,0.385,0.141,0.1,0.511705685618729,0.235228539576366,0.253065774804905,0.106,-1.29,-0.546,-0.959,0.303,0.14,0.111,0.094,0.21850613154961,0.235228539576366,0.302118171683389,0.244147157190635,0.804,-0.539,-0.96,-1.29,0.032,0.136,0.118,0.094,0.14,0.157,0.0256410256410256,0.313266443701226,0.243032329988852,0.235228539576366,0.182831661092531
"34","C46","control",0.612118649153392,-132.927281441632,-0.104,0.739,0.206,0.594,0.603121516164994,0.396878483835006,-0.056,-0.057,1.04,0.372,0.071,0.39,0.450390189520624,0.284280936454849,0.265328874024526,1.031,-0.029,0.234,-0.36,0.392,0.049,0.109,0.222,0.269788182831661,0.222965440356745,0.241917502787068,0.265328874024526,-0.369,0.935,0.696,0.237,-0.059,0.103,0.254,1.426,0.112,0.07,0.17056856187291,0.237458193979933,0.0490523968784838,0.246376811594203,0.29654403567447
"35","C47","control",0.748812202967471,-113.711798822237,-0.385,-1.035,0.192,0.19,0.455964325529543,0.544035674470457,-1.148,-0.825,-0.381,0.133,0.064,0.19,0.351170568561873,0.197324414715719,0.451505016722408,-1.148,-0.825,-0.509,-0.166,0.132,0.064,0.081,0.106,0.351170568561873,0.199554069119286,0.278706800445931,0.17056856187291,-0.596,-1.035,-0.476,-0.362,-0.129,0.05,0.19,0.026,0.052,0.084,0.12263099219621,0.544035674470457,0.114827201783724,0.0824972129319955,0.136008918617614
"36","C48","control",0.700428248344864,-90.8039692514406,-0.343,-0.93,0.248,0.178,0.334448160535117,0.665551839464883,-0.803,-1.123,-0.335,0.079,0.098,0.245,0.404682274247492,0.260869565217391,0.334448160535117,-0.333,-1.166,-0.955,-0.785,0.244,0.069,0.042,0.069,0.32329988851728,0.199554069119286,0.11371237458194,0.363433667781494,-0.721,-1.165,-0.962,-0.306,-0.85,0.057,0.069,0.037,0.238,0.027,0.230769230769231,0.199554069119286,0.103678929765886,0.295429208472687,0.17056856187291
"37","C49","experiment",0.616964775114529,125.372410994469,-0.538,0.161,0.196,0.43,0.473277590337881,0.526722409662119,-0.678,0.326,-0.23,0.128,0.467,0.126,0.276514595863283,0.331181849298323,0.392303554838394,-0.27,1.145,-0.682,0.107,0.107,0.59,0.126,0.115,0.330448388831842,0.0598014767004059,0.272016038335534,0.337734096132218,-0.719,-0.234,-0.843,-0.564,0.323,0.036,0.127,0.032,0.043,0.466,0.0657180577966848,0.394895115153293,0.0780890909979952,0.128013300083126,0.333284435968901
"38","C51","control",0.478890766653544,7.105427357601e-15,-0.454,0.916,0.227,0.71,0.670011148272018,0.329988851727982,1.003,-0.158,-0.588,0.688,0.141,0.13,0.299888517279822,0.250836120401338,0.449275362318841,-0.079,-0.637,1.018,-0.379,0.112,0.104,0.684,0.066,0.181716833890747,0.338907469342252,0.294314381270903,0.185061315496098,1.018,-0.376,-0.581,-0.752,-0.079,0.684,0.065,0.053,0.089,0.112,0.294314381270903,0.185061315496098,0.229654403567447,0.109253065774805,0.181716833890747
"39","C52","control",0.708705110916161,-44.942155017063,2.962,-0.035,1.912,0.584,0.284280936454849,0.71571906354515,0.413,-0.605,3.03,0.362,0.237,1.911,0.416945373467113,0.307692307692308,0.27536231884058,3.051,-0.751,-0.136,0.632,1.911,0.142,0.196,0.256,0.273132664437012,0.201783723522854,0.250836120401338,0.274247491638796,-0.775,3.05,0.637,-0.36,0.014,0.126,1.911,0.252,0.105,0.105,0.182831661092531,0.273132664437012,0.269788182831661,0.124860646599777,0.149386845039019
"40","C57","experiment",1.49909940556343,136.363935244214,-0.857,-0.533,0.064,0.199,0.568199443456047,0.431800556543953,-0.727,-0.887,-0.413,0.049,0.046,0.19,0.338168879156973,0.417772911819716,0.244058209023311,-0.836,-0.919,-0.719,-0.41,0.022,0.031,0.047,0.19,0.200720770037863,0.245517996441768,0.313238447151134,0.240522786369235,-0.76,-0.334,-0.919,-0.648,-0.84,0.025,0.176,0.031,0.043,0.02,0.190023265361982,0.17038456274805,0.242529994069614,0.21098490032389,0.186077277496465
"41","C58","experiment",0.574038321671637,-107.354796536071,0.088,-0.653,0.382,0.142,0.355182699478002,0.644817300521998,-0.865,0.02,-0.599,0.068,0.397,0.049,0.163758389261745,0.408351976137211,0.427889634601044,-0.392,0.418,-0.13,-0.678,0.07,0.309,0.083,0.13,0.13489932885906,0.164578672632364,0.126771066368382,0.573750932140194,-0.912,-0.285,0.368,-0.781,-0.599,0.033,0.132,0.321,0.05,0.044,0.0992542878448919,0.234451901565996,0.186353467561521,0.0742729306487696,0.405667412378822
"42","C60","experiment",0.388342243192973,-46.4957580203456,-0.413,-0.823,0.218,0.077,0.490743895513913,0.509256104486087,-0.23,-0.837,-0.598,0.18,0.069,0.065,0.23259511641113,0.458716638273708,0.308688245315162,-0.75,-0.576,-0.889,-0.228,0.038,0.052,0.035,0.18,0.250085178875639,0.254968767745599,0.263827370812039,0.231118682566723,-0.511,-0.161,-0.889,-0.642,-0.763,0.047,0.152,0.035,0.038,0.029,0.189097103918228,0.177512776831346,0.26496308915389,0.164792731402612,0.203634298693924
