"","Subject","angle_sum","dis_sum","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4"
"1","C02",-44.8778491881804,0.385400944358771,-0.078,1.367,-0.32,-0.521,0.116,0.786,0.033,0.098,0.220731298222073,0.152968802415297,0.210415967796042,0.415883931566588
"2","C03",-47.4200281568613,0.377626827654638,0.175,1.294,-0.5,-0.145,0.114,0.793,0.138,0.067,0.247323340471092,0.285283239244695,0.330932450846798,0.136460969437415
"3","C04",-114.101395269932,0.572972783705285,1.294,1.956,4.239,0.274,0.165,0.233,1.287,0.369,0.209373363588759,0.165212078896841,0.284255541979403,0.341159015534997
"4","C05",-55.4964179246541,0.43420967184826,-0.613,-0.49,-0.334,-0.028,0.062,0.034,0.049,0.121,0.15389789969355,0.217953509230884,0.250317662007624,0.377830929067942
"5","C06",-19.4504961723478,0.408324711729738,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915
"6","C07",-45.4630342700635,0.404736293827006,-0.465,-0.596,1.032,-0.731,0.079,0.003,0.531,0.06,0.186936026936027,0.129158249158249,0.287811447811448,0.396094276094276
"7","C08",-43.9621638431319,0.497428150989255,-0.769,0.991,-0.475,-0.08,0.089,0.564,0.073,0.157,0.185560946919571,0.270989560358771,0.315762387884135,0.227687104837524
"8","C09",-42.9706337550522,0.39695474245384,-0.581,1.573,-0.265,-0.733,0.064,1.044,0.079,0.025,0.21722027972028,0.290428321678322,0.378496503496503,0.113854895104895
"9","C10",-30.8323997700174,0.514311979187018,-0.645,-0.151,-0.516,-0.412,0.059,0.648,0.026,0.028,0.357419092204356,0.227966619173621,0.231325055973947,0.183289232648077
"10","C11",-98.5097004936539,0.512823843052215,-0.139,-0.697,-0.458,0.847,0.129,0.083,0.067,0.569,0.209476938608114,0.376048962079626,0.188466149283866,0.226007950028393
"11","C12",-25.2106192672736,0.389257946286211,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915
"12","C13",-44.8045459476774,0.404517564298152,5.589,2.182,1.173,-0.021,1.818,0.313,0.337,0.241,0.192984409799555,0.191870824053452,0.300779510022272,0.314365256124722
"13","C15",135.447881483511,0.639860064313048,-0.69,-0.185,-0.879,-0.6,0.041,0.258,0.03,0.022,0.173791450259688,0.251058729524571,0.318337994406712,0.256811825809029
"14","C17",143.886655954651,0.556661320504574,0.25,0.901,-0.456,-0.12,0.122,0.321,0.123,0.089,0.217170802390871,0.262271327658033,0.260369498279297,0.260188371671799
"15","C18",-45.6450278673841,0.401141625133397,0.695,2.152,0.071,-0.432,0.187,0.571,0.173,0.088,0.209940435504345,0.186798164241773,0.260130846597012,0.343130553656869
"16","C19",-140.480986166183,0.666382859001045,-0.68,0.262,-0.542,-0.266,0.041,0.269,0.04,0.113,0.243531082360366,0.259151151782897,0.234616598295992,0.262701167560745
"17","C20",142.235969569745,0.599063726067599,-0.52,-0.771,0.129,-0.223,0.078,0.079,0.193,0.062,0.202397525135344,0.214075792730085,0.216550657385924,0.366976024748647
"18","C21",-86.0346088800356,0.485619977345711,-0.432,0.333,0.662,-0.006,0.15,0.052,0.208,0.103,0.335530715582306,0.228050062099933,0.150186299799369,0.286232922518391
"19","C22",-67.4262309696492,1.06259967400573,2.844,1.287,0.522,-0.156,1.062,0.272,0.162,0.275,0.159713335039672,0.244060776694511,0.283989110454429,0.312236777811387
"20","C23",111.353604845772,0.597510075224891,0.856,0.049,1.749,0.408,0.137,0.141,0.449,0.101,0.328990476190476,0.212266666666667,0.284647619047619,0.174095238095238
"21","C24",-114.227804086997,0.913072456800212,-0.307,-0.76,-0.534,0.199,0.067,0.082,0.059,0.277,0.248914244596921,0.201243800272403,0.24798910389844,0.301852851232236
"22","C30",-90.9753599857539,0.610204771375492,1.836,0.348,0.923,-0.288,0.391,0.152,0.151,0.242,0.137123745819398,0.208472686733556,0.204013377926421,0.450390189520624
"23","C31",-115.3822845036,0.753753078190902,3.016,0.465,-0.3,1.25,1.118,0.151,0.253,0.362,0.102564102564103,0.307692307692308,0.412486064659978,0.177257525083612
"24","C32",-47.8944836261251,0.496671312246826,1.791,-0.398,-1.034,0.511,0.472,0.199,0.157,0.246,0.127090301003344,0.461538461538462,0.24860646599777,0.162764771460424
"25","C33",-123.512706558823,0.614848621405815,1.023,0.102,-0.605,-0.358,0.398,0.181,0.108,0.078,0.198439241917503,0.344481605351171,0.154960981047938,0.302118171683389
"26","C34",-56.8283301334302,0.762090367562925,2.231,0.758,1.189,-0.313,0.381,0.142,0.142,0.419,0.226309921962096,0.168338907469342,0.17056856187291,0.434782608695652
"27","C35",-80.1973053521656,0.634054911552202,1.059,0.377,-0.217,-0.719,0.279,0.17,0.141,0.225,0.127090301003344,0.335562987736901,0.312151616499443,0.225195094760312
"28","C36",-100.059325908609,0.748072005867702,0.845,1.866,2.898,1.49,0.213,0.111,0.782,0.098,0.216276477146042,0.276477146042363,0.321070234113712,0.186176142697882
"29","C37",-60.5399658437648,0.700680985370354,-0.922,-0.062,-0.442,0.833,0.15,0.118,0.104,0.442,0.297658862876254,0.163879598662207,0.265328874024526,0.273132664437012
"30","C38",-113.546651793537,0.678189337209095,-0.513,0.55,1.054,0.033,0.129,0.132,0.233,0.153,0.255295429208473,0.346711259754738,0.105908584169454,0.292084726867336
"31","C41",124.589816522071,0.699781180663874,-0.397,0.446,2.165,1.072,0.308,0.198,0.452,0.174,0.229654403567447,0.335562987736901,0.239687848383501,0.195094760312152
"32","C42",-129.008558122112,0.53986703783218,-0.683,0.333,-1.039,-0.324,0.074,0.238,0.154,0.15,0.22742474916388,0.249721293199554,0.178372352285396,0.344481605351171
"33","C43",178.410535894793,0.654557615727787,0.106,-1.29,-0.546,-0.959,0.303,0.14,0.111,0.094,0.21850613154961,0.235228539576366,0.302118171683389,0.244147157190635
"34","C46",-132.927281441632,0.612118649153392,1.031,-0.029,0.234,-0.36,0.392,0.049,0.109,0.222,0.269788182831661,0.222965440356745,0.241917502787068,0.265328874024526
"35","C47",-113.711798822237,0.748812202967471,-1.148,-0.825,-0.509,-0.166,0.132,0.064,0.081,0.106,0.351170568561873,0.199554069119286,0.278706800445931,0.17056856187291
"36","C48",-90.8039692514406,0.700428248344864,-0.333,-1.166,-0.955,-0.785,0.244,0.069,0.042,0.069,0.32329988851728,0.199554069119286,0.11371237458194,0.363433667781494
"37","C49",125.372410994469,0.616964775114529,-0.27,1.145,-0.682,0.107,0.107,0.59,0.126,0.115,0.330448388831842,0.0598014767004059,0.272016038335534,0.337734096132218
"38","C51",7.105427357601e-15,0.478890766653544,-0.079,-0.637,1.018,-0.379,0.112,0.104,0.684,0.066,0.181716833890747,0.338907469342252,0.294314381270903,0.185061315496098
"39","C52",-44.942155017063,0.708705110916161,3.051,-0.751,-0.136,0.632,1.911,0.142,0.196,0.256,0.273132664437012,0.201783723522854,0.250836120401338,0.274247491638796
"40","C57",136.363935244214,1.49909940556343,-0.836,-0.919,-0.719,-0.41,0.022,0.031,0.047,0.19,0.200720770037863,0.245517996441768,0.313238447151134,0.240522786369235
"41","C58",-107.354796536071,0.574038321671637,-0.392,0.418,-0.13,-0.678,0.07,0.309,0.083,0.13,0.13489932885906,0.164578672632364,0.126771066368382,0.573750932140194
"42","C60",-46.4957580203456,0.388342243192973,-0.75,-0.576,-0.889,-0.228,0.038,0.052,0.035,0.18,0.250085178875639,0.254968767745599,0.263827370812039,0.231118682566723
